Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87524,442.25,253.29,0.82,90546.00,0.76,1184.04,Kecimen
75166,406.69,243.03,0.80,78789.00,0.68,1121.79,Kecimen
90856,442.27,266.33,0.80,93717.00,0.64,1208.58,Kecimen
45928,286.54,208.76,0.68,47336.00,0.70,844.16,Kecimen
79408,352.19,290.83,0.56,81463.00,0.79,1073.25,Kecimen
49242,318.13,200.12,0.78,51368.00,0.66,881.84,Kecimen
42492,310.15,176.13,0.82,43904.00,0.67,823.80,Kecimen
60952,332.46,235.43,0.71,62329.00,0.74,933.37,Kecimen
42256,323.19,172.58,0.85,44743.00,0.70,849.73,Kecimen
64380,366.96,227.77,0.78,66125.00,0.66,981.54,Kecimen
80437,449.45,232.33,0.86,84460.00,0.67,1176.31,Kecimen
43725,301.32,186.95,0.78,45021.00,0.70,818.87,Kecimen
43441,276.61,201.81,0.68,45133.00,0.69,803.75,Kecimen
76792,338.86,291.36,0.51,78842.00,0.77,1042.77,Kecimen
74167,387.80,247.86,0.77,76807.00,0.68,1084.73,Kecimen
33565,261.55,167.71,0.77,35794.00,0.68,751.41,Kecimen
64670,403.08,206.48,0.86,66419.00,0.76,1028.45,Kecimen
64762,354.29,235.75,0.75,66713.00,0.69,981.51,Kecimen
43295,304.28,182.81,0.80,44714.00,0.71,814.68,Kecimen
70699,418.70,216.60,0.86,72363.00,0.73,1061.32,Kecimen
69726,354.18,252.53,0.70,71849.00,0.73,1035.50,Kecimen
57346,330.48,222.44,0.74,59365.00,0.72,928.27,Kecimen
82028,397.11,268.33,0.74,84427.00,0.69,1106.36,Kecimen
61251,301.51,273.66,0.42,64732.00,0.64,971.77,Kecimen
96277,447.13,275.22,0.79,97865.00,0.70,1181.92,Kecimen
75620,368.22,263.46,0.70,77493.00,0.73,1059.19,Kecimen
73167,340.06,276.02,0.58,74545.00,0.78,1010.47,Kecimen
60847,336.92,231.47,0.73,62492.00,0.70,964.60,Kecimen
81021,347.75,297.64,0.52,82552.00,0.76,1063.87,Kecimen
59902,358.59,222.90,0.78,63250.00,0.74,982.79,Kecimen
88745,429.77,265.69,0.79,90715.00,0.75,1162.88,Kecimen
41809,307.53,175.09,0.82,43838.00,0.70,828.70,Kecimen
75329,364.23,265.87,0.68,77541.00,0.72,1075.79,Kecimen
61600,350.18,225.84,0.76,63397.00,0.75,972.47,Kecimen
46427,253.84,235.91,0.37,48275.00,0.68,844.31,Kecimen
40861,249.74,213.57,0.52,43096.00,0.74,784.91,Kecimen
55827,305.30,234.66,0.64,57724.00,0.70,926.10,Kecimen
54182,366.07,192.01,0.85,56450.00,0.61,968.73,Kecimen
77468,405.94,245.99,0.80,79220.00,0.72,1100.68,Kecimen
49882,287.26,222.19,0.63,50880.00,0.77,843.76,Kecimen
95245,397.09,307.27,0.63,97988.00,0.75,1201.39,Kecimen
71464,364.10,253.80,0.72,73265.00,0.72,1036.94,Kecimen
77055,375.25,262.81,0.71,79255.00,0.73,1095.28,Kecimen
92384,368.41,320.71,0.49,93772.00,0.75,1135.66,Kecimen
77310,436.53,228.28,0.85,80138.00,0.63,1141.19,Kecimen
57580,330.23,232.06,0.71,60232.00,0.65,992.11,Kecimen
69708,375.45,239.13,0.77,71321.00,0.73,1022.57,Kecimen
41502,260.51,205.87,0.61,43114.00,0.82,790.43,Kecimen
45800,330.01,181.67,0.83,47802.00,0.73,870.39,Kecimen
52623,312.00,218.04,0.72,54175.00,0.68,902.62,Kecimen
44939,317.62,183.32,0.82,46400.00,0.66,845.79,Kecimen
114648,508.13,288.95,0.82,118314.00,0.68,1340.90,Kecimen
65727,403.19,210.07,0.85,67372.00,0.62,1030.16,Kecimen
45683,333.26,177.77,0.85,48787.00,0.63,901.10,Kecimen
111450,478.31,298.63,0.78,113256.00,0.69,1298.19,Kecimen
47581,306.81,203.10,0.75,49203.00,0.67,861.58,Kecimen
57127,311.64,238.64,0.64,59943.00,0.69,952.02,Kecimen
53006,333.38,206.88,0.78,55456.00,0.69,936.37,Kecimen
69060,328.49,275.89,0.54,72223.00,0.73,1039.55,Kecimen
25387,225.63,144.62,0.77,26139.00,0.68,619.07,Kecimen
66774,348.56,246.48,0.71,69097.00,0.69,1003.37,Kecimen
47839,312.60,198.75,0.77,50166.00,0.70,868.06,Kecimen
78571,443.82,228.76,0.86,81718.00,0.64,1157.33,Kecimen
64717,342.58,245.73,0.70,66649.00,0.66,997.99,Kecimen
60462,373.34,208.11,0.83,62213.00,0.67,990.55,Kecimen
59370,345.95,221.92,0.77,61464.00,0.70,981.52,Kecimen
54056,332.27,208.62,0.78,55539.00,0.67,912.15,Kecimen
89235,443.52,258.95,0.81,91201.00,0.66,1179.69,Kecimen
51727,321.13,208.77,0.76,52913.00,0.75,903.31,Kecimen
71595,387.31,236.75,0.79,74045.00,0.72,1069.77,Kecimen
95347,451.53,280.23,0.78,99256.00,0.67,1255.25,Kecimen
60449,383.80,208.17,0.84,64346.00,0.68,1054.20,Kecimen
69006,379.32,241.85,0.77,72895.00,0.70,1086.86,Kecimen
68520,373.24,237.04,0.77,70759.00,0.71,1049.09,Kecimen
52731,309.98,219.73,0.71,54438.00,0.70,894.48,Kecimen
50570,311.34,208.32,0.74,51743.00,0.72,873.78,Kecimen
75825,391.20,248.50,0.77,77437.00,0.75,1081.34,Kecimen
42637,293.43,189.43,0.76,44052.00,0.73,814.18,Kecimen
76984,425.05,233.97,0.83,78641.00,0.76,1091.75,Kecimen
47851,323.15,191.61,0.81,49187.00,0.77,860.40,Kecimen
51220,328.65,202.51,0.79,52903.00,0.69,896.73,Kecimen
53890,331.09,216.58,0.76,57109.00,0.70,957.13,Kecimen
58650,346.34,219.68,0.77,62380.00,0.66,991.61,Kecimen
98935,387.52,326.90,0.54,100747.00,0.74,1176.60,Kecimen
77587,396.81,251.94,0.77,79970.00,0.70,1100.84,Kecimen
180898,843.96,323.19,0.92,221396.00,0.45,2253.56,Kecimen
71266,390.71,235.69,0.80,73002.00,0.66,1034.18,Kecimen
39457,267.56,188.77,0.71,40472.00,0.70,755.82,Kecimen
35237,267.55,173.53,0.76,37418.00,0.71,750.91,Kecimen
49059,301.80,210.47,0.72,50835.00,0.70,867.58,Kecimen
53896,319.07,217.70,0.73,55392.00,0.75,889.63,Kecimen
56469,325.34,225.12,0.72,58697.00,0.69,933.90,Kecimen
85156,422.28,260.21,0.79,87057.00,0.70,1140.68,Kecimen
67044,361.26,238.23,0.75,68626.00,0.76,989.02,Kecimen
52243,331.45,206.76,0.78,55774.00,0.71,934.55,Kecimen
38968,269.40,185.73,0.72,40147.00,0.74,769.24,Kecimen
79661,360.07,282.74,0.62,81032.00,0.78,1045.66,Kecimen
59282,329.24,233.77,0.70,60580.00,0.73,920.57,Kecimen
48177,305.78,202.47,0.75,49877.00,0.68,860.55,Kecimen
74904,342.90,280.12,0.58,75898.00,0.73,1012.37,Kecimen
81581,424.28,245.51,0.82,83143.00,0.76,1114.74,Kecimen
57820,376.19,199.80,0.85,59968.00,0.71,978.85,Kecimen
57808,309.97,241.37,0.63,58954.00,0.71,911.86,Kecimen
55306,353.15,204.13,0.82,57396.00,0.74,973.26,Kecimen
59459,347.16,222.11,0.77,61585.00,0.71,966.33,Kecimen
44247,319.79,178.65,0.83,45872.00,0.68,842.12,Kecimen
48945,269.37,239.16,0.46,51456.00,0.71,872.29,Kecimen
68864,343.68,261.99,0.65,71726.00,0.70,1035.02,Kecimen
82826,396.71,269.76,0.73,84981.00,0.75,1115.81,Kecimen
65396,331.54,253.24,0.65,66783.00,0.76,975.43,Kecimen
81572,393.72,265.81,0.74,84964.00,0.70,1187.34,Kecimen
44367,322.50,176.71,0.84,46531.00,0.73,883.97,Kecimen
51448,328.29,202.16,0.79,52772.00,0.70,877.80,Kecimen
50545,286.87,227.16,0.61,51771.00,0.84,847.66,Kecimen
94063,448.12,276.61,0.79,99085.00,0.71,1259.45,Kecimen
84129,413.03,261.64,0.77,86242.00,0.71,1144.97,Kecimen
79735,411.00,250.22,0.79,83306.00,0.75,1154.54,Kecimen
90176,390.21,294.76,0.66,91793.00,0.76,1136.67,Kecimen
61492,356.43,224.16,0.78,65298.00,0.69,1013.20,Kecimen
79532,367.53,277.22,0.66,81603.00,0.74,1075.27,Kecimen
69302,354.96,254.45,0.70,71843.00,0.70,1051.02,Kecimen
52266,320.44,213.86,0.74,54116.00,0.68,923.19,Kecimen
51180,288.63,226.63,0.62,52396.00,0.74,856.00,Kecimen
55787,333.70,226.95,0.73,59520.00,0.69,977.43,Kecimen
96064,411.21,303.23,0.68,99609.00,0.73,1223.90,Kecimen
54316,351.81,198.42,0.83,55960.00,0.66,930.63,Kecimen
70941,326.01,278.10,0.52,72330.00,0.76,993.05,Kecimen
55770,293.58,243.48,0.56,57633.00,0.74,900.11,Kecimen
47478,299.82,205.30,0.73,48900.00,0.72,861.18,Kecimen
88197,473.29,238.74,0.86,90297.00,0.66,1193.28,Kecimen
74728,355.31,270.74,0.65,76287.00,0.77,1048.68,Kecimen
70788,362.65,249.40,0.73,71954.00,0.75,1003.77,Kecimen
48894,318.10,197.50,0.78,50468.00,0.66,875.17,Kecimen
52051,313.70,213.63,0.73,53550.00,0.70,893.45,Kecimen
53270,336.15,204.31,0.79,55288.00,0.69,922.01,Kecimen
57227,354.43,207.59,0.81,59307.00,0.65,953.50,Kecimen
97026,455.97,273.05,0.80,99561.00,0.67,1212.67,Kecimen
58495,368.74,205.76,0.83,61496.00,0.63,998.44,Kecimen
53758,359.53,193.40,0.84,57197.00,0.71,965.07,Kecimen
110616,461.14,306.90,0.75,112150.00,0.75,1252.88,Kecimen
49175,281.43,224.49,0.60,50672.00,0.73,845.13,Kecimen
53698,348.22,197.75,0.82,56089.00,0.73,938.71,Kecimen
73125,408.94,231.22,0.82,75540.00,0.66,1096.75,Kecimen
50445,308.36,208.86,0.74,51555.00,0.72,851.63,Kecimen
46742,303.56,199.45,0.75,48077.00,0.71,847.79,Kecimen
69317,393.40,228.72,0.81,72170.00,0.66,1066.39,Kecimen
75314,392.65,246.08,0.78,77118.00,0.70,1073.77,Kecimen
54428,339.11,206.65,0.79,56175.00,0.72,922.88,Kecimen
39509,286.23,180.44,0.78,41446.00,0.72,790.53,Kecimen
66568,342.25,249.55,0.68,68078.00,0.76,993.46,Kecimen
45264,290.59,203.32,0.71,48142.00,0.66,879.83,Kecimen
57980,336.31,222.61,0.75,59311.00,0.78,925.80,Kecimen
75114,368.73,262.47,0.70,77454.00,0.74,1051.27,Kecimen
78991,362.64,279.09,0.64,80355.00,0.71,1071.39,Kecimen
76253,364.23,269.52,0.67,78443.00,0.72,1070.05,Kecimen
83229,423.84,253.81,0.80,86345.00,0.65,1153.43,Kecimen
45962,251.13,235.37,0.35,47173.00,0.74,810.20,Kecimen
57766,344.74,215.11,0.78,59834.00,0.74,950.72,Kecimen
39669,252.75,202.26,0.60,41860.00,0.66,791.46,Kecimen
41050,316.84,167.33,0.85,42965.00,0.64,846.83,Kecimen
47771,311.52,197.09,0.77,49237.00,0.68,857.78,Kecimen
53389,301.85,228.52,0.65,55158.00,0.72,906.67,Kecimen
73319,392.36,239.19,0.79,75653.00,0.71,1075.28,Kecimen
91831,463.36,257.95,0.83,95560.00,0.71,1252.76,Kecimen
71452,397.96,239.80,0.80,73864.00,0.75,1101.50,Kecimen
59970,353.00,219.68,0.78,61834.00,0.76,978.63,Kecimen
51683,325.24,208.91,0.77,54510.00,0.73,928.22,Kecimen
41283,268.13,199.64,0.67,42505.00,0.73,798.52,Kecimen
92735,436.99,271.58,0.78,94693.00,0.70,1183.45,Kecimen
44627,297.26,194.76,0.76,46921.00,0.68,848.49,Kecimen
84260,411.40,262.97,0.77,85978.00,0.69,1157.00,Kecimen
59076,350.49,216.68,0.79,61643.00,0.65,988.27,Kecimen
58741,345.49,222.38,0.77,60701.00,0.71,948.23,Kecimen
68627,411.89,216.89,0.85,70932.00,0.74,1097.29,Kecimen
51941,349.23,191.82,0.84,53893.00,0.71,912.26,Kecimen
77161,394.28,253.21,0.77,82746.00,0.67,1127.41,Kecimen
85105,382.29,288.76,0.66,88056.00,0.78,1139.45,Kecimen
52508,297.70,226.25,0.65,53588.00,0.76,862.78,Kecimen
39941,251.85,208.47,0.56,41594.00,0.71,777.66,Kecimen
48693,306.57,204.28,0.75,50298.00,0.74,848.42,Kecimen
87858,441.22,255.66,0.82,90905.00,0.71,1176.29,Kecimen
67718,373.92,233.23,0.78,71102.00,0.74,1024.99,Kecimen
63968,333.01,247.89,0.67,65403.00,0.76,953.45,Kecimen
43461,333.71,169.31,0.86,45669.00,0.68,867.45,Kecimen
81546,381.35,273.81,0.70,82807.00,0.71,1057.45,Kecimen
43563,296.52,188.20,0.77,45174.00,0.70,817.41,Kecimen
36145,280.76,166.59,0.80,37401.00,0.81,747.16,Kecimen
57741,316.48,234.28,0.67,58976.00,0.71,906.83,Kecimen
69024,372.82,237.66,0.77,70649.00,0.72,1015.77,Kecimen
78982,421.16,241.64,0.82,81442.00,0.75,1102.42,Kecimen
78240,401.93,249.83,0.78,79677.00,0.76,1059.64,Kecimen
87036,384.97,289.45,0.66,88336.00,0.73,1094.59,Kecimen
37569,232.43,208.15,0.44,38874.00,0.79,734.10,Kecimen
79748,441.93,231.72,0.85,81718.00,0.74,1120.96,Kecimen
44156,307.71,186.09,0.80,45285.00,0.63,820.71,Kecimen
87302,392.91,284.18,0.69,89605.00,0.74,1122.16,Kecimen
69312,373.80,237.19,0.77,70719.00,0.71,1001.24,Kecimen
86545,350.13,315.72,0.43,87512.00,0.79,1070.06,Kecimen
59729,337.04,231.81,0.73,62511.00,0.68,966.44,Kecimen
59822,336.58,227.95,0.74,60648.00,0.70,916.04,Kecimen
63452,334.85,243.24,0.69,64925.00,0.74,945.52,Kecimen
61996,333.75,243.54,0.68,63641.00,0.67,958.63,Kecimen
74763,391.23,245.54,0.78,77508.00,0.69,1063.38,Kecimen
73193,401.07,235.83,0.81,75563.00,0.74,1050.91,Kecimen
66508,344.90,249.09,0.69,69240.00,0.70,1001.71,Kecimen
74849,379.93,252.62,0.75,76154.00,0.74,1040.79,Kecimen
38585,274.45,180.96,0.75,39926.00,0.70,762.44,Kecimen
61377,339.73,234.02,0.72,64027.00,0.71,975.55,Kecimen
39547,259.42,198.47,0.64,40765.00,0.73,763.98,Kecimen
49998,301.78,212.33,0.71,50857.00,0.78,834.33,Kecimen
49063,294.75,217.91,0.67,50732.00,0.66,869.80,Kecimen
46961,343.79,177.14,0.86,48476.00,0.61,891.53,Kecimen
57271,372.70,196.98,0.85,58786.00,0.77,949.94,Kecimen
58909,347.34,218.12,0.78,60379.00,0.70,944.88,Kecimen
51336,321.88,206.15,0.77,53944.00,0.74,898.55,Kecimen
62422,324.56,247.71,0.65,64021.00,0.72,947.54,Kecimen
48447,331.05,189.92,0.82,49996.00,0.63,883.04,Kecimen
64364,376.66,221.66,0.81,67510.00,0.65,1057.90,Kecimen
72915,414.72,229.56,0.83,76912.00,0.68,1131.10,Kecimen
49414,290.46,219.42,0.66,51029.00,0.71,869.19,Kecimen
45723,291.20,203.02,0.72,48658.00,0.65,875.76,Kecimen
64988,371.35,226.91,0.79,67847.00,0.67,1048.19,Kecimen
56709,293.41,247.72,0.54,58143.00,0.78,904.51,Kecimen
93559,438.63,275.58,0.78,95750.00,0.69,1198.26,Kecimen
81916,398.33,265.42,0.75,85615.00,0.66,1113.14,Kecimen
79274,406.98,255.22,0.78,81976.00,0.71,1110.38,Kecimen
88724,446.43,260.38,0.81,92630.00,0.66,1216.54,Kecimen
65469,374.47,227.54,0.79,68018.00,0.71,1020.03,Kecimen
75799,340.98,289.15,0.53,79230.00,0.74,1065.19,Kecimen
76741,383.98,258.13,0.74,79198.00,0.75,1056.74,Kecimen
54219,344.29,204.50,0.80,56526.00,0.69,931.43,Kecimen
52693,283.50,242.11,0.52,54860.00,0.74,895.75,Kecimen
84539,441.53,248.37,0.83,87728.00,0.69,1169.98,Kecimen
34559,264.52,168.98,0.77,36516.00,0.66,750.37,Kecimen
49715,302.35,213.36,0.71,52250.00,0.65,877.43,Kecimen
39716,243.04,210.11,0.50,40598.00,0.78,737.47,Kecimen
46845,264.97,225.84,0.52,47739.00,0.76,799.99,Kecimen
52547,358.37,189.21,0.85,54649.00,0.70,929.47,Kecimen
41593,310.67,178.32,0.82,44753.00,0.57,870.06,Kecimen
44460,294.62,197.56,0.74,47486.00,0.65,849.23,Kecimen
51145,317.35,211.03,0.75,53531.00,0.71,895.04,Kecimen
43345,323.86,175.19,0.84,46785.00,0.65,877.02,Kecimen
53987,331.35,213.17,0.77,56076.00,0.67,931.12,Kecimen
59514,368.64,209.13,0.82,61469.00,0.76,968.36,Kecimen
85739,380.37,288.26,0.65,87052.00,0.76,1094.58,Kecimen
56096,313.39,232.28,0.67,58701.00,0.71,929.12,Kecimen
46120,300.10,201.21,0.74,49996.00,0.63,907.03,Kecimen
57676,333.97,222.27,0.75,58991.00,0.69,926.26,Kecimen
62064,352.37,227.86,0.76,64811.00,0.65,1004.25,Kecimen
50274,305.40,212.27,0.72,52016.00,0.69,868.95,Kecimen
77225,362.14,277.01,0.64,80872.00,0.73,1110.44,Kecimen
45598,259.90,225.66,0.50,47266.00,0.74,813.28,Kecimen
38545,283.99,175.42,0.79,39765.00,0.76,770.59,Kecimen
39439,246.76,212.64,0.51,42795.00,0.65,793.01,Kecimen
74109,416.71,230.56,0.83,78032.00,0.71,1095.06,Kecimen
41755,296.79,184.19,0.78,43362.00,0.69,804.56,Kecimen
61463,369.40,213.62,0.82,63117.00,0.79,966.49,Kecimen
43743,300.91,185.85,0.79,44836.00,0.67,802.26,Kecimen
73499,346.05,275.51,0.61,76355.00,0.73,1050.01,Kecimen
40403,289.26,179.22,0.78,41209.00,0.72,761.95,Kecimen
62343,348.29,232.82,0.74,63897.00,0.71,979.45,Kecimen
46008,296.88,212.03,0.70,48762.00,0.70,860.58,Kecimen
43495,271.65,205.16,0.66,44535.00,0.75,785.84,Kecimen
50649,327.11,199.54,0.79,52462.00,0.77,875.27,Kecimen
61235,349.03,226.80,0.76,63504.00,0.72,974.08,Kecimen
78883,395.10,256.96,0.76,80973.00,0.68,1092.71,Kecimen
58734,367.48,205.02,0.83,59845.00,0.76,945.19,Kecimen
68253,388.45,224.73,0.82,70347.00,0.75,1042.26,Kecimen
62401,394.40,203.14,0.86,64722.00,0.74,1004.35,Kecimen
73046,397.34,234.83,0.81,74242.00,0.69,1037.40,Kecimen
54968,300.95,234.39,0.63,56851.00,0.75,893.64,Kecimen
84057,452.78,245.22,0.84,86710.00,0.62,1179.02,Kecimen
90178,466.25,250.10,0.84,92321.00,0.75,1180.48,Kecimen
67883,383.19,233.36,0.79,70360.00,0.70,1030.87,Kecimen
43901,304.10,191.30,0.78,46443.00,0.65,884.50,Kecimen
33662,227.29,191.11,0.54,34787.00,0.79,699.42,Kecimen
77043,388.69,257.55,0.75,80094.00,0.73,1112.21,Kecimen
64875,393.21,212.95,0.84,67701.00,0.77,1014.79,Kecimen
42609,280.15,200.27,0.70,44944.00,0.67,840.17,Kecimen
79510,380.72,267.03,0.71,81779.00,0.73,1075.31,Kecimen
58857,320.81,235.39,0.68,60597.00,0.69,927.05,Kecimen
67754,349.20,251.68,0.69,69536.00,0.66,1032.36,Kecimen
54842,308.23,227.26,0.68,55879.00,0.74,887.11,Kecimen
78352,408.81,245.44,0.80,80474.00,0.68,1099.51,Kecimen
72447,401.74,231.54,0.82,74481.00,0.71,1055.30,Kecimen
58239,324.30,231.00,0.70,59977.00,0.72,940.22,Kecimen
93879,409.49,292.92,0.70,96072.00,0.77,1174.17,Kecimen
68129,381.18,230.06,0.80,70141.00,0.66,1050.87,Kecimen
74426,411.70,231.75,0.83,76449.00,0.68,1071.61,Kecimen
60650,324.36,242.23,0.67,62580.00,0.72,941.49,Kecimen
136340,722.85,311.34,0.90,176818.00,0.53,2098.26,Kecimen
65051,381.21,218.22,0.82,66476.00,0.64,1002.04,Kecimen
72219,376.65,249.53,0.75,74373.00,0.78,1050.22,Kecimen
81405,421.09,248.09,0.81,83634.00,0.71,1148.65,Kecimen
70196,373.20,243.88,0.76,71937.00,0.69,1024.26,Kecimen
69120,352.01,250.81,0.70,70274.00,0.70,978.43,Kecimen
56327,297.77,241.93,0.58,58178.00,0.73,915.50,Kecimen
54983,292.90,248.41,0.53,58095.00,0.73,921.61,Kecimen
